step,x,y,speed,action,progress,on_track
1,494.9680256,512.0,0.23980800000000002,"[True, False, False, False, False]",3099.4360241803324,True
2,494.90410237952,512.0,0.4794241536,"[True, False, False, False, False]",3099.4360241803324,True
3,494.8082558976164,512.0,0.71884861427712,"[True, False, False, False, False]",3099.4360241803324,True
4,494.6805116928983,512.0,0.9580815353856983,"[True, False, False, False, False]",3099.4360241803324,True
5,494.52089528354395,512.0,1.1971230701573896,"[True, False, False, False, False]",3099.4360241803324,True
6,494.3294321673171,512.0,1.4359733717012637,"[True, False, False, False, False]",3099.4360241803324,True
7,494.10614782158325,512.0,1.6746325930039025,"[True, False, False, False, False]",3099.4360241803324,True
8,493.851067703326,512.0,1.9131008869294992,"[True, False, False, False, False]",3101.5501753746203,True
9,493.56421724916333,512.0,2.1513784062199557,"[True, False, False, False, False]",3101.5501753746203,True
10,493.245621875364,512.0,2.3894653034949798,"[True, False, False, False, False]",3101.5501753746203,True
11,492.8953069778637,512.0,2.6273617312521838,"[True, False, False, False, False]",3101.5501753746203,True
12,492.51329793228143,512.0,2.8650678418671824,"[True, False, False, False, False]",3101.5501753746203,True
13,492.0996200939356,512.0,3.1025837875936886,"[True, False, False, False, False]",3101.5501753746203,True
14,491.65429879786046,512.0,3.339909720563614,"[True, False, False, False, False]",3103.664208804554,True
15,491.1773593588222,512.0,3.5770457927871635,"[True, False, False, False, False]",3103.664208804554,True
16,490.6688270713351,512.0,3.813992156152934,"[True, False, False, False, False]",3103.664208804554,True
17,490.12872720967806,512.0,4.0507489624280115,"[True, False, False, False, False]",3103.664208804554,True
18,489.5570850279103,512.0,4.2873163632580695,"[True, False, False, False, False]",3105.778058025581,True
19,488.95392575988797,512.0,4.523694510167463,"[True, False, False, False, False]",3105.778058025581,True
20,488.31927461928007,512.0,4.759883554559329,"[True, False, False, False, False]",3105.778058025581,True
21,487.6531567995846,512.0,4.995883647715681,"[True, False, False, False, False]",3107.89163263556,True
22,486.95559747414495,512.0,5.231694940797509,"[True, False, False, False, False]",3107.89163263556,True
23,486.22662179616566,512.0,5.467317584844872,"[True, False, False, False, False]",3107.89163263556,True
24,485.4662548987287,512.0,5.702751730776996,"[True, False, False, False, False]",3110.0048178689635,True
25,484.67452189480974,512.0,5.9379975293923755,"[True, False, False, False, False]",3110.0048178689635,True
26,483.8514478772939,512.0,6.173055131368861,"[True, False, False, False, False]",3110.0048178689635,True
27,482.997057918992,512.0,6.407924687263766,"[True, False, False, False, False]",3112.117479240188,True
28,482.1113770726568,512.0,6.642606347513956,"[True, False, False, False, False]",3112.117479240188,True
29,481.1944303709987,512.0,6.877100262435945,"[True, False, False, False, False]",0.0,True
30,480.2462428267019,512.0,7.111406582225998,"[True, False, False, False, False]",0.0,True
31,479.2668394324406,512.0,7.3455254569602175,"[True, False, False, False, False]",0.0,True
32,478.25624516089465,512.0,7.579457036594649,"[True, False, False, False, False]",2.1111941399578322,True
33,477.2144849647659,512.0,7.813201470965374,"[True, False, False, False, False]",2.1111941399578322,True
34,476.1415837767941,512.0,8.046758909788602,"[True, False, False, False, False]",4.2214859821988835,True
35,475.03756650977266,512.0,8.28012950266077,"[True, False, False, False, False]",4.2214859821988835,True
36,473.90245805656485,512.0,8.513313399058642,"[True, False, False, False, False]",6.330827325767106,True
37,472.7362832901196,512.0,8.746310748339395,"[True, False, False, False, False]",8.439239673596443,True
38,471.5390670634875,512.0,8.979121699740725,"[True, False, False, False, False]",8.439239673596443,True
39,470.3108342098367,512.0,9.211746402380932,"[True, False, False, False, False]",10.546819549066598,True
40,469.05160954246884,512.0,9.444185005259028,"[True, False, False, False, False]",10.546819549066598,True
41,467.76141785483486,512.0,9.67643765725482,"[True, False, False, False, False]",12.653731763137717,True
42,466.440283920551,512.0,9.908504507129015,"[True, False, False, False, False]",12.653731763137717,True
43,465.0882324934146,512.0,10.14038570352331,"[True, False, False, False, False]",14.760193265681012,True
44,463.70528830741983,512.0,10.37208139496049,"[True, False, False, False, False]",16.86645264661089,True
45,462.2914760767739,512.0,10.603591729844522,"[True, False, False, False, False]",16.86645264661089,True
46,460.8468204959125,512.0,10.834916856460646,"[True, False, False, False, False]",18.972769858080053,True
47,459.37134623951573,512.0,11.066056922975477,"[True, False, False, False, False]",21.079398009586463,True
48,457.86507796252414,512.0,11.297012077437095,"[True, False, False, False, False]",23.186566332396907,True
49,456.3280403001541,512.0,11.527782467775145,"[True, False, False, False, False]",23.186566332396907,True
50,454.760257867914,512.0,11.758368241800925,"[True, False, False, False, False]",25.294461884817235,True
51,453.16175526161965,512.0,11.988769547207482,"[True, False, False, False, False]",27.403216717001445,True
52,451.5325570574104,512.0,12.218986531569715,"[True, False, False, False, False]",29.51289380746515,True
53,449.8726878117644,512.0,12.449019342344458,"[True, False, False, False, False]",29.51289380746515,True
54,448.182172061515,512.0,12.678868126870581,"[True, False, False, False, False]",31.623483284437526,True
55,446.4610343238658,512.0,12.908533032369084,"[True, False, False, False, False]",33.73490806245803,True
56,444.7092990964067,512.0,13.138014205943188,"[True, False, False, False, False]",35.847037171066084,True
57,442.92699085712957,512.0,13.367311794578432,"[True, False, False, False, False]",37.95970261919995,True
58,441.1141340644439,512.0,13.596425945142768,"[True, False, False, False, False]",40.07271498810195,True
59,439.2707531571923,512.0,13.825356804386653,"[True, False, False, False, False]",40.07271498810195,True
60,437.3968725546666,512.0,14.054104518943143,"[True, False, False, False, False]",42.18587463236319,True
61,435.49251665662285,512.0,14.282669235327988,"[True, False, False, False, False]",44.29897816134598,True
62,433.5577098432976,512.0,14.511051099939726,"[True, False, False, False, False]",46.41182243176803,True
63,431.5924764754229,512.0,14.739250259059773,"[True, False, False, False, False]",48.524209008931905,True
64,429.5968408942426,512.0,14.967266858852524,"[True, False, False, False, False]",50.63595256105219,True
65,427.57082742152716,512.0,15.19510104536544,"[True, False, False, False, False]",52.74689780558138,True
66,425.5144603595899,512.0,15.422752964529147,"[True, False, False, False, False]",54.85693498789338,True
67,423.42776399130224,512.0,15.650222762157522,"[True, False, False, False, False]",56.96601664258752,True
68,421.3107625801092,512.0,15.877510583947796,"[True, False, False, False, False]",59.074167442933934,True
69,419.16348037004514,512.0,16.104616575480637,"[True, False, False, False, False]",61.18148367407845,True
70,416.9859415857491,512.0,16.331540882220253,"[True, False, False, False, False]",63.28811784119786,True
71,414.7781704324805,512.0,16.558283649514475,"[True, False, False, False, False]",65.3942593724105,True
72,412.54019109613455,512.0,16.784845022594865,"[True, False, False, False, False]",67.50010869432553,True
73,410.27202774325764,512.0,17.011225146576788,"[True, False, False, False, False]",69.60585144094487,True
74,407.97370452106304,512.0,17.237424166459526,"[True, False, False, False, False]",71.71163607499322,True
75,405.6452455574462,512.0,17.463442227126357,"[True, False, False, False, False]",73.81755615019415,True
76,403.28667496100024,512.0,17.689279473344655,"[True, False, False, False, False]",75.92364021862329,True
77,400.89801682103143,512.0,17.914936049765977,"[True, False, False, False, False]",80.1361152100237,True
78,398.47929520757464,512.0,18.140412100926163,"[True, False, False, False, False]",82.24232690342328,True
79,396.0305341714086,512.0,18.36570777124542,"[True, False, False, False, False]",84.34840895663737,True
80,393.5517577440715,512.0,18.590823205028425,"[True, False, False, False, False]",86.45432982656557,True
81,391.04298993787626,512.0,18.8157585464644,"[True, False, False, False, False]",88.56012252193192,True
82,388.50425474592595,512.0,19.04051393962723,"[True, False, False, False, False]",90.66588487667565,True
83,385.9355761421292,512.0,19.26508952847553,"[True, False, False, False, False]",94.87795197917696,True
84,383.33697808121553,512.0,19.489485456852748,"[True, False, False, False, False]",96.98463288754543,True
85,380.7084844987506,512.0,19.713701868487266,"[True, False, False, False, False]",99.09199054841193,True
86,378.0501193111516,512.0,19.937738906992475,"[True, False, False, False, False]",101.20017130717713,True
87,375.36190641570266,512.0,20.161596715866878,"[True, False, False, False, False]",105.41931298109341,True
88,372.6438696905701,512.0,20.385275438494183,"[True, False, False, False, False]",107.5302692387437,True
89,369.8960329948177,512.0,20.608775218143386,"[True, False, False, False, False]",109.64204742599328,True
90,367.11842016842184,512.0,20.83209619796887,"[True, False, False, False, False]",113.86755140500543,True
91,364.31105503228713,512.0,21.05523852101049,"[True, False, False, False, False]",115.9809902787091,True
92,361.47396138826133,512.0,21.278202330193682,"[True, False, False, False, False]",118.0947075028396,True
93,358.60716301915073,512.0,21.500987768329527,"[True, False, False, False, False]",122.32251822313279,True
94,355.7106836887354,512.0,21.723594978114864,"[True, False, False, False, False]",124.43640432264165,True
95,352.7845471417844,512.0,21.946024102132373,"[True, False, False, False, False]",126.55013850956384,True
96,349.828777104071,512.0,22.168275282850665,"[True, False, False, False, False]",130.77667152936786,True
97,346.84339728238774,512.0,22.390348662624383,"[True, False, False, False, False]",132.88919812330704,True
98,343.8284313645618,512.0,22.612244383694286,"[True, False, False, False, False]",137.1120782900282,True
99,340.7839030194702,512.0,22.83396258818733,"[True, False, False, False, False]",139.22221567612866,True
100,337.70983589705463,512.0,23.05550341811678,"[True, False, False, False, False]",143.4397245932658,True
101,334.606253628337,512.0,23.276867015382283,"[True, False, False, False, False]",145.54723122811632,True
102,331.47317982543433,512.0,23.49805352176998,"[True, False, False, False, False]",149.76055255418882,True
103,328.310638081574,512.0,23.719063078952562,"[True, False, False, False, False]",151.8668208758029,True
104,325.1186519711087,512.0,23.939895828489394,"[True, False, False, False, False]",156.07984235070572,True
105,321.8972450495318,512.0,24.160551911826605,"[True, False, False, False, False]",158.18708413757426,True
106,318.6464408534922,512.0,24.381031470297142,"[True, False, False, False, False]",162.403968824581,True
107,315.36626290080943,512.0,24.601334645120904,"[True, False, False, False, False]",164.51379882403148,True
108,312.0567346904888,512.0,24.821461577404808,"[True, False, False, False, False]",168.7361595658841,True
109,308.7178797027364,512.0,25.041412408142882,"[True, False, False, False, False]",170.84848315554729,True
110,305.3497213989742,512.0,25.261187278216365,"[True, False, False, False, False]",175.07467463323624,True
111,301.95228322185505,512.0,25.480786328393794,"[True, False, False, False, False]",179.30187737956953,True
112,298.52558859527755,512.0,25.70020969933108,"[True, False, False, False, False]",181.4154823025462,True
113,295.0696609244013,512.0,25.919457531571613,"[True, False, False, False, False]",185.6419541780242,True
114,291.5845235956618,512.0,26.13852996554635,"[True, False, False, False, False]",189.86641085673085,True
115,288.07019997678526,512.0,26.35742714157391,"[True, False, False, False, False]",191.97751903700703,True
116,284.52671341680383,512.0,26.57614919986065,"[True, False, False, False, False]",196.19703064305466,True
117,280.9540872460704,512.0,26.794696280500762,"[True, False, False, False, False]",200.41299566420915,True
118,277.3523447762735,512.0,27.01306852347636,"[True, False, False, False, False]",202.51992202550485,True
119,273.7215093004525,512.0,27.23126606865758,"[True, False, False, False, False]",206.7326804909377,True
120,270.06160409301214,512.0,27.449289055802655,"[True, False, False, False, False]",210.94564444626045,True
121,266.3726524097377,512.0,27.667137624558013,"[True, False, False, False, False]",215.1607448848471,True
122,262.6546774878099,512.0,27.884811914458364,"[True, False, False, False, False]",217.2695436850437,True
123,258.9077025458197,512.0,28.102312064926796,"[True, False, False, False, False]",221.48995908678825,True
124,255.13175078378305,512.0,28.319638215274853,"[True, False, False, False, False]",225.7137592303495,True
125,251.32684538315604,512.0,28.536790504702633,"[True, False, False, False, False]",229.93990489004847,True
126,247.49300950684952,512.0,28.75376907229887,"[True, False, False, False, False]",232.05347433971784,True
127,243.63026629924406,512.0,28.97057405704103,"[True, False, False, False, False]",236.28088367455558,True
128,239.73863888620468,512.0,29.187205597795394,"[True, False, False, False, False]",240.50772602208238,True
129,235.81815037509574,512.0,29.403663833317157,"[True, False, False, False, False]",244.73282518153025,True
130,231.86882385479566,512.0,29.6199489022505,"[True, False, False, False, False]",248.9550171485438,True
131,227.89068239571185,512.0,29.8360609431287,"[True, False, False, False, False]",253.1735813099119,True
132,223.88374904979528,512.0,30.052000094374197,"[True, False, False, False, False]",257.3887304257384,True
133,219.84804685055545,512.0,30.267766494298694,"[True, False, False, False, False]",261.60170331243944,True
134,215.783598813075,512.0,30.483360281103252,"[True, False, False, False, False]",265.8143907026294,True
135,211.69042793402454,512.0,30.69878159287837,"[True, False, False, False, False]",267.9212652321609,True
136,207.56855719167734,512.0,30.914030567604065,"[True, False, False, False, False]",272.13715273544983,True
137,203.418009545924,512.0,31.129107343149983,"[True, False, False, False, False]",276.35666922698994,True
138,199.23880793828727,512.0,31.344012057275464,"[True, False, False, False, False]",280.57976087182055,True
139,195.03097529193664,512.0,31.558744847629644,"[True, False, False, False, False]",284.80554472533447,True
140,190.8744705117031,512.0,31.17378585175154,"[True, False, False, False, True]",289.0329359463087,True
141,186.76925253529373,512.0,30.789134823070135,"[True, False, False, True, True]",293.26104467674804,True
142,182.71682968825243,511.98026063732846,30.39353191500498,"[True, False, False, True, True]",297.48865304227627,True
143,178.64159511905294,511.9228465864688,30.567292416191464,"[True, False, False, False, False]",301.7128472282399,True
144,174.54328905013335,511.82943178114397,30.74527917457133,"[True, False, False, False, False]",305.9244273442207,True
145,170.4216660355224,511.70160531119615,30.92703539471067,"[True, False, False, False, False]",310.09711487219647,True
146,166.27649423188666,511.54087573250234,31.11215091328012,"[True, False, False, False, False]",314.167317637698,True
147,162.18742759797698,511.3518508973221,30.700749881295245,"[True, False, False, False, True]",318.00630640059296,True
148,158.15408493120154,511.1369806321013,30.292965425838176,"[True, False, False, False, True]",322.8374466949371,True
149,154.17610340786254,510.8985578718093,29.88840093935544,"[True, False, False, False, True]",325.9906033650447,True
150,150.29531250754306,510.64468852619024,29.16814282203144,"[False, False, False, False, True]",325.9906033650447,True
151,146.51134127165946,510.37742567795385,28.450484364986693,"[False, False, False, False, True]",340.7778439684817,True
152,142.82383550361192,510.0986934321671,27.73518907543578,"[False, False, False, False, True]",340.7778439684817,True
